Sample,TotalSig1Number,TotalSig5Number,TotalSig7Number,GDC_SigData.TotalMutNumber,CLASSIFICATION
TCGA-EE-A183-06A-11D-A196-08,0.075106566,0,0.875368134,808,WT
TCGA-EE-A184-06A-11D-A196-08,0,0,0,337,WT
TCGA-EE-A185-06A-11D-A196-08,0.070864551,0,0.734229413,255,NRAS
TCGA-EE-A20B-06A-11D-A196-08,0,0,0.789715981,223,BRAF
TCGA-EE-A20C-06A-11D-A196-08,0.047067862,0,0.762100736,2693,NF1
TCGA-EE-A20F-06A-21D-A196-08,0.010878747,0,0.896721569,562,WT
TCGA-EE-A20H-06A-11D-A197-08,0.059524131,0.088321807,0.794522867,746,BRAF
TCGA-EE-A20I-06A-11D-A196-08,0.647224378,0,0,20,WT
TCGA-EE-A29A-06A-12D-A196-08,0,0,0.826882983,338,BRAF
TCGA-EE-A29B-06A-11D-A197-08,0.02014432,0.063650302,0.768556154,705,WT
TCGA-EE-A29C-06A-21D-A197-08,0.085575035,0,0.74960171,535,BRAF
TCGA-EE-A29D-06A-11D-A197-08,0.036044306,0,0.88596562,4802,WT
TCGA-EE-A29E-06A-11D-A197-08,0.022132571,0,0.910279149,4210,BRAF
TCGA-EE-A29G-06A-12D-A196-08,0,0.119195617,0.772987275,419,NRAS
TCGA-EE-A29H-06A-12D-A197-08,0.065408565,0,0.851641859,374,BRAF
TCGA-EE-A29L-06A-12D-A196-08,0.04729918,0,0.868695629,2441,NRAS
TCGA-EE-A29M-06A-11D-A196-08,0.014205308,0,0.926946703,3053,BRAF
TCGA-EE-A29N-06A-12D-A197-08,0.090430041,0,0.6894825,772,NF1
TCGA-EE-A29P-06A-11D-A197-08,0.038933548,0,0.825167825,380,BRAF
TCGA-EE-A29Q-06A-11D-A197-08,0.070155505,0,0.713903623,368,NRAS
TCGA-EE-A29R-06A-11D-A197-08,0.045486678,0,0.849678477,863,NRAS
TCGA-EE-A29S-06A-11D-A197-08,0.022673038,0.045585975,0.876454979,1341,NRAS
TCGA-EE-A29T-06A-11D-A197-08,0.195656872,0,0.716494916,452,BRAF
TCGA-EE-A29V-06A-12D-A197-08,0.037213153,0,0.707292911,1297,NRAS
TCGA-EE-A29W-06A-11D-A196-08,0.175783305,0,0.54888494,88,BRAF
TCGA-EE-A29X-06A-11D-A196-08,0.02235059,0,0.750105335,165,NRAS
TCGA-EE-A2A0-06A-11D-A196-08,0.006696541,0.065408319,0.894554088,496,WT
TCGA-EE-A2A1-06A-11D-A197-08,0.041559334,0,0.885037774,502,NRAS
TCGA-EE-A2A2-06A-11D-A196-08,0.023821335,0,0.748639046,1914,NRAS
TCGA-EE-A2A5-06A-11D-A197-08,0.026592531,0,0.725387877,411,NRAS
TCGA-EE-A2A6-06A-11D-A197-08,0.096805641,0,0.790428965,382,BRAF
TCGA-EE-A2GB-06A-11D-A197-08,0.038117611,0.030636493,0.842478641,843,BRAF
TCGA-EE-A2GC-06A-11D-A197-08,0.046828064,0,0.857866354,3019,NF1
TCGA-EE-A2GD-06A-11D-A196-08,0.036902527,0.044410366,0.846441518,646,NRAS
TCGA-EE-A2GE-06A-11D-A196-08,0,0,0.71421301,295,WT
TCGA-EE-A2GH-06A-11D-A196-08,0.056310052,0,0.849642745,383,WT
TCGA-EE-A2GI-06A-11D-A196-08,0.043452485,0,0.84361042,1920,NF1
TCGA-EE-A2GJ-06A-11D-A196-08,0.031843936,0,0.838275253,1485,NRAS
TCGA-EE-A2GK-06A-11D-A196-08,0,0,0,2,WT
TCGA-EE-A2GL-06A-11D-A196-08,0.041183221,0,0.792017161,452,NRAS
TCGA-EE-A2GM-06B-11D-A196-08,0.037296428,0,0.811203934,885,NRAS
TCGA-EE-A2GN-06A-11D-A196-08,0.010759939,0,0.697488488,513,NRAS
TCGA-EE-A2GO-06A-11D-A196-08,0.048092463,0,0.81041652,2432,NF1
TCGA-EE-A2GP-06A-11D-A197-08,0.072963272,0,0.895577008,843,NRAS
TCGA-EE-A2GR-06A-11D-A197-08,0.047406422,0,0.768690878,2007,NF1
TCGA-EE-A2GS-06A-12D-A197-08,0.062692634,0,0.796383047,420,BRAF
TCGA-EE-A2GT-06A-12D-A197-08,0.115458144,0,0.865717988,393,BRAF
TCGA-EE-A2GU-06A-11D-A196-08,0.044551136,0,0.937759524,790,NRAS
TCGA-EE-A2M5-06A-12D-A197-08,0.042059145,0,0.725308176,2475,BRAF
TCGA-EE-A2M6-06A-12D-A197-08,0.020016229,0.065498265,0.828810418,686,BRAF
TCGA-EE-A2M7-06A-11D-A197-08,0.165594984,0,0.383070344,77,BRAF
TCGA-EE-A2M8-06A-12D-A196-08,0.090018701,0,0.766881356,124,BRAF
TCGA-EE-A2MC-06A-12D-A197-08,0.090144202,0,0.823833606,965,NRAS
TCGA-EE-A2MD-06A-11D-A197-08,0.077235102,0,0.856539021,2069,NRAS
TCGA-EE-A2ME-06A-11D-A197-08,0,0,0.646349045,40,BRAF
TCGA-EE-A2MF-06A-11D-A21A-08,0.027974313,0.052844726,0.847766472,913,NRAS
TCGA-EE-A2MG-06A-11D-A197-08,0.02089546,0,0.850600842,244,BRAF
TCGA-EE-A2MH-06A-11D-A197-08,0.106154138,0,0.636297489,175,WT
TCGA-EE-A2MI-06A-11D-A197-08,0.046537804,0,0.921576102,1403,NF1
TCGA-EE-A2MJ-06A-11D-A197-08,0.037508065,0,0.958380698,2564,NF1
TCGA-EE-A2MK-06A-11D-A196-08,0,0,0.791544507,340,BRAF
TCGA-EE-A2ML-06A-11D-A197-08,0.038986319,0,0.745907953,683,NRAS
TCGA-EE-A2MM-06A-11D-A196-08,0.075818808,0,0.899076499,676,NRAS
TCGA-EE-A2MN-06A-11D-A197-08,0.03622273,0,0.726254428,194,NRAS
TCGA-EE-A2MP-06A-11D-A197-08,0.074600192,0,0.71250473,335,BRAF
TCGA-EE-A2MQ-06A-11D-A197-08,0.081692241,0.08133909,0.709279651,300,WT
TCGA-EE-A2MR-06A-11D-A196-08,0.086021165,0,0.857041792,5028,WT
TCGA-EE-A2MS-06A-11D-A197-08,0.02710863,0,0.839015393,3623,NF1
TCGA-EE-A2MT-06A-11D-A197-08,0.051478848,0,0.803473565,1216,NF1
TCGA-EE-A2MU-06A-21D-A196-08,0.041594889,0,0.862884967,869,NRAS
TCGA-EE-A3AA-06A-11D-A196-08,0.016355707,0,0.849192639,1556,BRAF
TCGA-EE-A3AB-06A-11D-A196-08,0,0,0.426995593,813,BRAF
TCGA-EE-A3AC-06A-11D-A196-08,0.030671006,0,0.822033206,1189,NRAS
TCGA-EE-A3AD-06A-11D-A196-08,0.07058211,0,0.754412783,488,BRAF
TCGA-EE-A3AE-06A-11D-A196-08,0.036699782,0,0.936091349,1860,NF1
